Price_Sector,Reportable_Owner,Brand_House,Date,Value,Volume,Holding_Company,PS_HC_BH_Group,Value_T,Volume_T,Value_Share,Volume_Share
Economy,BAT,Pall Mall,2020-10-04,3665.618289001489,4143.934021228446,BAT,Economy_BAT_Pall Mall,298503.214225341,316264.8448436334,0.012279996041296568,0.013102733638565726
Economy,BAT,Rothmans,2020-10-04,561.3835704105818,7842.824386426516,BAT,Economy_BAT_Rothmans,298503.214225341,316264.8448436334,0.00188066172710218,0.024798280663486764
Economy,ITUK,JPS,2020-10-04,453.45133795457906,6155.589941099641,IMB,Economy_IMB_JPS,298503.214225341,316264.8448436334,0.0015190836022699148,0.01946340240295461
Economy,ITUK,Lambert & Butler,2020-10-04,3409.473332247037,7989.661540770381,IMB,Economy_IMB_Lambert & Butler,298503.214225341,316264.8448436334,0.011421898223424876,0.025262566077240114
Economy,ITUK,Player's,2020-10-04,4048.641554192276,7656.67674828263,IMB,Economy_IMB_Player's,298503.214225341,316264.8448436334,0.013563142241865256,0.024209699159159527
Economy,ITUK (Pr Label),Kingsmen,2020-10-04,6895.574967790735,6471.19426768387,ITUK (Pr Label),Economy_ITUK (Pr Label)_Kingsmen,298503.214225341,316264.8448436334,0.023100504916457095,0.020461313905702466
Economy,JTI,Benson&Hedges (JTI),2020-10-04,2337.6555314806023,5140.074164714674,JTI,Economy_JTI_Benson&Hedges (JTI),298503.214225341,316264.8448436334,0.007831257487619208,0.016252436046934056
Economy,JTI,No.3,2020-10-04,1167.8925731835866,1677.5869656563136,JTI,Economy_JTI_No.3,298503.214225341,316264.8448436334,0.003912495804155532,0.005304373827845901
Economy,Other,Austin,2020-10-04,5798.377200925658,3847.1763340338093,Other,Economy_Other_Austin,298503.214225341,316264.8448436334,0.019424840084128692,0.012164413455235333
Economy,Philip Morris,Marlboro,2020-10-04,7378.672482648099,6241.635962682059,Philip Morris,Economy_Philip Morris_Marlboro,298503.214225341,316264.8448436334,0.024718904624852437,0.019735471913636265
Mid Price,ITUK,JPS,2020-10-04,661.3252120296175,5495.086386149315,IMB,Mid Price_IMB_JPS,298503.214225341,316264.8448436334,0.002215470991646948,0.017374951644929672
Mid Price,ITUK,Lambert & Butler,2020-10-04,5719.15801085635,8328.354709125715,IMB,Mid Price_IMB_Lambert & Butler,298503.214225341,316264.8448436334,0.019159452020302,0.02633348234845195
Mid Price,ITUK,Windsor Blue,2020-10-04,7190.374644973431,1001.9023649392556,IMB,Mid Price_IMB_Windsor Blue,298503.214225341,316264.8448436334,0.024088097890783162,0.003167922016228559
Mid Price,JTI,Berkeley,2020-10-04,5536.838436954641,4464.47453264312,JTI,Mid Price_JTI_Berkeley,298503.214225341,316264.8448436334,0.018548672754909984,0.014116252898264525
Mid Price,JTI,Dorchester,2020-10-04,7839.349730065502,7047.723310501648,JTI,Mid Price_JTI_Dorchester,298503.214225341,316264.8448436334,0.0262621953683472,0.022284245073100548
